title,meal_block,description,calories_estimate,goal_tags,fitness_level_min,fitness_level_max,nova_max,foods
Mogolla santafereña,desayuno,Pan integral bogotano con mantequilla,290,general_health,1,5,3,"Pan, Trigo, forma, integral|Mantequilla, sin sal"
Pan con quesillo costeño,desayuno,Pan blanco con quesillo y suero,310,general_health,1,5,3,"Queso, minas, meia cura"
Pan árabe con hummus,desayuno,Pan árabe tostado con hummus de garbanzo,320,general_health|fat_loss,2,5,2,"Garbanzo, crudo"
Pan integral con huevo cocido,desayuno,Pan integral con huevo duro y aguacate,340,general_health|muscle_gain,1,5,2,"Pan, Trigo, forma, integral|Huevo, de gallina, entero, cocido/10minutos|Aguacate, crudo"
Pan de bono con suero,desayuno,Pandebono con suero costeño tradicional,290,general_health,1,5,3,"Queso, minas, meia cura"
Galletas saladas con queso,desayuno,Galletas cream cracker con queso fresco,250,general_health,1,5,3,"Queso, minas, meia cura"
Colada de maíz con leche,desayuno,Colada tradicional de maíz tierno con leche y canela,290,general_health,1,5,2,"Maíz, verde, crudo|Leche, de vaca, integral"
Mazamorra paisa,desayuno,Mazamorra de maíz con leche y panela,310,general_health,1,5,2,"Maíz, verde, crudo|Leche, de vaca, integral"
Peto de maíz,desayuno,Bebida andina de maíz tierno con leche y azúcar,280,general_health,1,5,2,"Maíz, verde, crudo|Leche, de vaca, integral"
Champús vallecaucano,desayuno,"Bebida con maíz, lulo y panela típica del Valle",260,general_health,1,5,3,"Maíz, verde, crudo"
Aguapanela con queso,desayuno,Bebida de panela con limón y queso fresco,230,general_health,1,5,2,"Queso, minas, meia cura"
Atol de plátano,desayuno,Bebida espesa de plátano verde con leche,270,general_health,1,5,2,"Banano, de la terra, cruda|Leche, de vaca, integral"
Crema de avena tibia,desayuno,Avena cocida espesa con canela y leche,310,general_health,1,5,2,"Avena, hojuelas, cruda|Leche, de vaca, integral"
Crema de maíz,desayuno,Crema espesa de maíz con leche y canela,290,general_health,1,5,3,"Maíz, verde, crudo|Leche, de vaca, integral"
Bebida de arroz con leche,desayuno,Arroz cocido en leche con canela y azúcar mínimo,290,general_health,1,5,2,"Arroz, tipo 1, cocido|Leche, de vaca, integral"
Cuchuco con leche,desayuno,Bebida boyacense de trigo cocido con leche,280,general_health,1,5,2,"Leche, de vaca, integral"
Salpicón colombiano,desayuno,Mix de frutas tropicales con jugo de naranja,200,general_health|fat_loss,1,5,1,"Mango, Tommy Atkins, cruda|Piña, crudo|Papaya, Formosa, crudo|Naranja, baía, Jugo"
Ensalada de frutas con yogur,desayuno,"Mango, papaya y banano con yogur natural",240,general_health|fat_loss,1,5,2,"Mango, Tommy Atkins, cruda|Papaya, Formosa, crudo|Banano, Manzana, cruda|Yogur, natural"
Frutas frescas con miel,desayuno,Plato de frutas tropicales con un toque de miel,180,general_health|fat_loss,1,5,1,"Mango, Tommy Atkins, cruda|Papaya, Formosa, crudo|Piña, crudo"
Mango con yogur griego,desayuno,Mango maduro picado con yogur sin azúcar,200,general_health|fat_loss,1,5,2,"Mango, Tommy Atkins, cruda|Yogur, natural"
Papaya rellena de yogur,desayuno,Mitad de papaya rellena con yogur y granola,220,general_health|fat_loss,1,5,2,"Papaya, Formosa, crudo|Yogur, natural"
Frutas con queso costeño,desayuno,Mango y guayaba con láminas de queso fresco,240,general_health,1,5,2,"Mango, Tommy Atkins, cruda|Guayaba, vermelha, con casca, cruda|Queso, minas, meia cura"
Banano con maní y miel,desayuno,Banano en rodajas con maní triturado y miel,280,general_health|muscle_gain,1,5,3,"Banano, Manzana, cruda|Maní, tostado, salado"
Fresas con leche condensada,desayuno,Fresas frescas con un hilo de leche condensada,220,general_health,1,5,2,"Fresa, crudo"
Macedonia tropical,desayuno,Frutas variadas con jugo de maracuyá natural,190,general_health|fat_loss,1,5,1,"Mango, Tommy Atkins, cruda|Piña, crudo|Maracuyá, crudo"
Frutos rojos con yogur,desayuno,"Fresas, moras y yogur natural sin azúcar",200,general_health|fat_loss,1,5,2,"Fresa, crudo|Yogur, natural"
Shake de proteína post entreno,desayuno,Proteína de suero con leche descremada y banano,290,fat_loss|muscle_gain,3,5,3,"Leche, de vaca, desnatado, UHT|Banano, Manzana, cruda"
Claras con espinaca y arepa,desayuno,Cuatro claras revueltas con espinaca y arepa pequeña,240,fat_loss,2,5,2,"Huevo, de gallina, clara, cocida/10minutos|Espinaca, Nova Zelândia, salteado"
Huevos revueltos con 3 proteínas,desayuno,"Huevos con jamón, queso y pimentón",480,muscle_gain,4,5,3,"Huevo, de gallina, entero, crudo|Queso, mozarela|Pimiento, vermelho, crudo"
Quinua proteica con pollo y huevo,desayuno,"Quinua con pollo a la plancha, huevo y aguacate",480,muscle_gain,3,5,2,"Pollo, Pechuga, sin piel, a la plancha|Huevo, de gallina, entero, crudo|Aguacate, crudo"
Avena con caseína nocturna,desayuno,Avena cocida con caseína y maní,380,muscle_gain,4,5,3,"Avena, hojuelas, cruda|Maní, tostado, salado"
Yogur griego con proteína,desayuno,Yogur griego con cacao y proteína en polvo,270,fat_loss|muscle_gain,3,5,3,"Yogur, natural"
Tortilla de claras con queso,desayuno,Tortilla de cuatro claras con queso fresco,260,fat_loss|muscle_gain,3,5,2,"Huevo, de gallina, clara, cocida/10minutos|Queso, minas, meia cura"
Pollo desmechado con arepa,desayuno,Pechuga desmechada con arepa pequeña,380,muscle_gain,3,5,2,"Pollo, Pechuga, sin piel, cocido"
Atún con tostada integral,desayuno,Atún en agua con pan integral y aguacate,360,fat_loss|muscle_gain,3,5,3,"Atún, conserva en Aceite vegetal|Pan, Trigo, forma, integral|Aguacate, crudo"
Salmón ahumado con huevo,desayuno,Salmón a la plancha con huevo pochado y aguacate,420,fat_loss|muscle_gain,3,5,2,"Salmón, sin piel, fresco, a la plancha|Huevo, de gallina, entero, crudo|Aguacate, crudo"
Carne magra con arroz integral,desayuno,Filete magro con arroz integral y huevo,460,muscle_gain,3,5,2,"Carne, bovina, capa de contra-filé, sin gordura, a la plancha|Arroz, integral, cocido|Huevo, de gallina, entero, crudo"
Sardinas con tostadas y limón,desayuno,Sardinas asadas con pan integral y limón,360,general_health|muscle_gain,3,5,3,"Sardina, asada|Pan, Trigo, forma, integral"
Camarones con arroz blanco,desayuno,Camarones salteados con arroz y limón,380,general_health|muscle_gain,3,5,2,"Camarón, Rio Grande, grande, cocido|Arroz, tipo 1, cocido"
Pollo con verduras al vapor,desayuno,Pechuga con brócoli y zanahoria al vapor,320,fat_loss|muscle_gain,3,5,2,"Pollo, Pechuga, sin piel, cocido|Brócoli, cocido|Zanahoria, cocida"
Pavo con espinaca y huevo,desayuno,Pavo molido con espinaca salteada y huevo,360,fat_loss|muscle_gain,3,5,2,"Espinaca, Nova Zelândia, salteado|Huevo, de gallina, entero, crudo"
Mango maduro en trozos,media_manana,Porción de mango Tommy Atkins fresco,120,general_health|fat_loss,1,5,1,"Mango, Tommy Atkins, cruda"
Mango Haden con limón,media_manana,Mango variedad Haden con jugo de limón,110,general_health|fat_loss,1,5,1,"Mango, Haden, cruda"
Papaya en cubos,media_manana,Cubos de papaya formosa fresca,80,general_health|fat_loss,1,5,1,"Papaya, Formosa, crudo"
Papaya papaia con limón,media_manana,Papaya papaia con un toque de limón,75,general_health|fat_loss,1,5,1,"Papaya, Papaia, crudo"
Piña fresca con menta,media_manana,Rodajas de piña con hojas de menta,90,general_health|fat_loss,1,5,1,"Piña, crudo"
Fresas con yogur,media_manana,Fresas frescas con cucharada de yogur natural,130,general_health|fat_loss,1,5,2,"Fresa, crudo|Yogur, natural"
Banano solo,media_manana,Un banano mediano maduro,100,general_health,1,5,1,"Banano, Manzana, cruda"
Banano nanica con canela,media_manana,Banano nanica con espolvoreado de canela,100,general_health,1,5,1,"Banano, nanica, cruda"
Banano prata pequeño,media_manana,Banano prata más dulce y pequeño,85,general_health,1,5,1,"Banano, prata, cruda"
Manzana fresca,media_manana,Una manzana Fuji con cáscara,95,general_health|fat_loss,1,5,1,"Manzana, Fuji, con casca, cruda"
Manzana con maní,media_manana,Manzana en gajos con maní triturado,200,general_health|muscle_gain,1,5,3,"Manzana, Fuji, con casca, cruda|Maní, tostado, salado"
Naranja en gajos,media_manana,Una naranja Pera en gajos,80,general_health|fat_loss,1,5,1,"Naranja, Pera, cruda"
Kiwi en rodajas,media_manana,Dos kiwis pelados en rodajas,100,general_health|fat_loss,1,5,1,"Kiwi, crudo"
Guayaba con queso,media_manana,Guayaba madura con láminas de queso fresco,180,general_health,1,5,2,"Guayaba, vermelha, con casca, cruda|Queso, minas, meia cura"
Mango y maracuyá,media_manana,Mango maduro con jugo de maracuyá natural,130,general_health|fat_loss,1,5,1,"Mango, Tommy Atkins, cruda|Maracuyá, crudo"
Salpicón de frutas,media_manana,"Mix de mango, papaya, piña y banano",150,general_health|fat_loss,1,5,1,"Mango, Tommy Atkins, cruda|Papaya, Formosa, crudo|Piña, crudo|Banano, Manzana, cruda"
Guanábana en trozos,media_manana,Pulpa de guanábana fresca,110,general_health|fat_loss,1,5,1,"Guanábana, cruda"
Frutas tropicales con miel,media_manana,"Mango, papaya y piña con un toque de miel",160,general_health,1,5,1,"Mango, Tommy Atkins, cruda|Papaya, Formosa, crudo|Piña, crudo"
Fresas naturales solas,media_manana,Porción de fresas frescas lavadas,60,general_health|fat_loss,1,5,1,"Fresa, crudo"
Manzana con canela horneada,media_manana,Manzana al horno con canela y un toque de miel,130,general_health,1,5,1,"Manzana, Fuji, con casca, cruda"
Kiwi y fresa,media_manana,Mix refrescante de kiwi y fresa,90,general_health|fat_loss,1,5,1,"Kiwi, crudo|Fresa, crudo"
Mango verde con sal y limón,media_manana,Mango biche con sal y jugo de limón,70,general_health|fat_loss,1,5,1,
Banano con maní en cucharada,media_manana,Banano con una cucharada de maní triturado,180,general_health|muscle_gain,1,5,3,"Banano, Manzana, cruda|Maní, tostado, salado"
Piña con coco rallado,media_manana,Piña fresca con coco rallado natural,130,general_health,1,5,2,"Piña, crudo|Coco, crudo"
Macedonia con yogur,media_manana,Frutas variadas con yogur natural,180,general_health|fat_loss,1,5,2,"Mango, Tommy Atkins, cruda|Piña, crudo|Fresa, crudo|Yogur, natural"
Papaya con miel,media_manana,Cubos de papaya con un hilo de miel,100,general_health,1,5,1,"Papaya, Formosa, crudo"
Guayaba en mitades,media_manana,Guayaba con cáscara cortada en mitades,80,general_health|fat_loss,1,5,1,"Guayaba, vermelha, con casca, cruda"
Naranja en jugo natural,media_manana,Vaso de jugo de naranja recién exprimido,90,general_health,1,5,1,"Naranja, baía, Jugo"
Mango con yogur griego,media_manana,Cubos de mango con yogur griego sin azúcar,180,general_health|fat_loss,1,5,2,"Mango, Tommy Atkins, cruda|Yogur, natural"
Fresas con canela,media_manana,Fresas frescas con espolvoreo de canela,70,general_health|fat_loss,1,5,1,"Fresa, crudo"
Maní tostado solo,media_manana,Porción de maní tostado salado,160,general_health|muscle_gain,1,5,2,"Maní, tostado, salado"
Mix de maní y pasas,media_manana,Mezcla de maní y pasas para energía rápida,180,general_health|muscle_gain,1,5,2,"Maní, tostado, salado"
Marañón tostado,media_manana,Porción de marañón tostado y salado,170,general_health|muscle_gain,1,5,2,"castaña-de-Marañón, tostada, salada"
Castaña del Brasil,media_manana,Tres castañas de brasil crudas,200,general_health|muscle_gain,1,5,1,"castaña-do-Brasil, cruda"
Mix de frutos secos,media_manana,"Maní, marañón y castaña del brasil",200,general_health|muscle_gain,1,5,1,"Maní, tostado, salado|castaña-de-Marañón, tostada, salada|castaña-do-Brasil, cruda"
Maní con banano,media_manana,Banano con maní en cucharada,200,general_health|muscle_gain,1,5,3,"Maní, tostado, salado|Banano, Manzana, cruda"
Frutos secos con yogur,media_manana,Yogur natural con mix de marañón y castaña,220,general_health|muscle_gain,1,5,2,"Yogur, natural|castaña-de-Marañón, tostada, salada|castaña-do-Brasil, cruda"
Maní crudo natural,media_manana,Maní en grano sin tostar ni salar,160,general_health|muscle_gain,1,5,1,"Maní, tostado, salado"
Marañón con fruta seca,media_manana,Marañón tostado con pasas y arándanos,200,general_health|muscle_gain,1,5,2,"castaña-de-Marañón, tostada, salada"
Coco rallado con frutos,media_manana,Coco rallado con marañón y banano,220,general_health|muscle_gain,1,5,2,"Coco, crudo|castaña-de-Marañón, tostada, salada|Banano, Manzana, cruda"
Snack de almendras y semillas,media_manana,Mix de marañón y semillas de girasol,180,general_health|muscle_gain,1,5,1,"castaña-de-Marañón, tostada, salada"
Maní y chocolate amargo,media_manana,Maní tostado con cuadritos de chocolate al 70%,200,general_health,1,5,3,"Maní, tostado, salado"
Granola con marañón,media_manana,Avena con marañón y miel,220,general_health|muscle_gain,1,5,2,"Avena, hojuelas, cruda|castaña-de-Marañón, tostada, salada"
Trail mix energético,media_manana,"Marañón, castaña, maní y pasas",230,general_health|muscle_gain,1,5,1,"castaña-de-Marañón, tostada, salada|castaña-do-Brasil, cruda|Maní, tostado, salado"
Maní con banano deshidratado,media_manana,Maní con chips de banano caseros,220,general_health|muscle_gain,1,5,2,"Maní, tostado, salado"
Castaña con manzana,media_manana,Castaña del brasil con gajos de manzana,220,general_health|muscle_gain,1,5,1,"castaña-do-Brasil, cruda|Manzana, Fuji, con casca, cruda"
Marañón con yogur descremado,media_manana,Yogur descremado con marañón triturado,200,general_health|fat_loss,1,5,2,"Yogur, natural, desnatado|castaña-de-Marañón, tostada, salada"
Mix andino,media_manana,Frutos secos con quinua inflada y miel,230,general_health|muscle_gain,1,5,2,"castaña-de-Marañón, tostada, salada"
Maní y pasas con avena,media_manana,"Avena cruda con maní, pasas y leche",240,general_health|muscle_gain,1,5,2,"Avena, hojuelas, cruda|Maní, tostado, salado|Leche, de vaca, integral"
Coco crudo con miel,media_manana,Trozos de coco fresco con miel,200,general_health,1,5,1,"Coco, crudo"
Yogur natural pequeño,media_manana,Vaso de yogur natural sin azúcar,90,general_health|fat_loss,1,5,2,"Yogur, natural"
Yogur descremado con miel,media_manana,Yogur descremado con miel de abejas,110,general_health|fat_loss,1,5,2,"Yogur, natural, desnatado"
Yogur con avena cruda,media_manana,Yogur natural con avena en hojuelas,180,general_health|fat_loss,1,5,2,"Yogur, natural|Avena, hojuelas, cruda"
Yogur griego puro,media_manana,Yogur griego sin azúcar añadida,100,general_health|fat_loss,1,5,2,"Yogur, natural"
Yogur con miel y semillas,media_manana,Yogur con semillas de chía y miel,160,general_health|fat_loss,1,5,2,"Yogur, natural"
Yogur con fresas naturales,media_manana,Yogur natural con fresas frescas,150,general_health|fat_loss,1,5,2,"Yogur, natural|Fresa, crudo"
Yogur con mango,media_manana,Yogur natural con cubos de mango,170,general_health|fat_loss,1,5,2,"Yogur, natural|Mango, Tommy Atkins, cruda"
Yogur con papaya y chía,media_manana,Yogur con papaya y semillas de chía,180,general_health|fat_loss,1,5,2,"Yogur, natural|Papaya, Formosa, crudo"
Vaso de leche descremada,media_manana,Vaso de leche descremada UHT,90,general_health|fat_loss,1,5,2,"Leche, de vaca, desnatado, UHT"
Leche tibia con miel,media_manana,Leche tibia con miel de abejas,130,general_health,1,5,2,"Leche, de vaca, integral"
Queso fresco con galleta,media_manana,Galleta cream cracker con queso fresco,150,general_health,1,5,3,"Queso, minas, meia cura"
Queso requesón con miel,media_manana,Cucharadas de queso requesón con miel,180,general_health,1,5,2,"Queso, Requesón, cremoso"
Queso mozzarella con tomate,media_manana,Bolitas de mozzarella con tomate cherry,170,general_health|fat_loss,1,5,2,"Queso, mozarela|Tomate, con semilla, crudo"
Yogur con kiwi,media_manana,Yogur natural con kiwi en rodajas,150,general_health|fat_loss,1,5,2,"Yogur, natural|Kiwi, crudo"
Yogur proteico post entreno,media_manana,Yogur griego con proteína en polvo y banano,240,fat_loss|muscle_gain,3,5,3,"Yogur, natural|Banano, Manzana, cruda"
Leche con cacao puro,media_manana,Leche descremada con cacao en polvo sin azúcar,120,general_health|fat_loss,1,5,3,"Leche, de vaca, desnatado, UHT"
Yogur descremado con avena,media_manana,Yogur descremado con avena cruda y canela,160,fat_loss,1,5,2,"Yogur, natural, desnatado|Avena, hojuelas, cruda"
Queso campesino solo,media_manana,Porción de queso campesino fresco,140,general_health,1,5,2,"Queso, minas, meia cura"
Yogur con maní y banano,media_manana,Yogur con banano y maní triturado,240,general_health|muscle_gain,1,5,3,"Yogur, natural|Banano, Manzana, cruda|Maní, tostado, salado"
Queso ricota con tostadas,media_manana,Queso ricota sobre galletas saladas,180,general_health,1,5,3,"Queso, ricota"
Tostada con aguacate,media_manana,Pan integral pequeño con aguacate machacado,160,general_health|fat_loss,1,5,2,"Pan, Trigo, forma, integral|Aguacate, crudo"
Galletas con mermelada,media_manana,Galletas cream cracker con mermelada de fresa,140,general_health,1,5,3,"Fresa, crudo"
Tostada con queso fresco,media_manana,Pan integral con queso campesino,150,general_health,1,5,2,"Pan, Trigo, forma, integral|Queso, minas, meia cura"
Tostada con tomate y aceite,media_manana,Pan integral con tomate rallado y aceite de oliva,130,general_health|fat_loss,1,5,2,"Pan, Trigo, forma, integral|Tomate, con semilla, crudo|Aceite de oliva, de oliva, extra virgen"
Galleta con hummus,media_manana,Galletas saladas con hummus casero,160,general_health|fat_loss,1,5,2,"Garbanzo, crudo"
Tostada con atún,media_manana,Pan integral pequeño con atún en agua,180,fat_loss|muscle_gain,2,5,3,"Pan, Trigo, forma, integral|Atún, conserva en Aceite vegetal"
Tostada con clara de huevo,media_manana,Pan integral con clara revuelta,140,fat_loss|muscle_gain,2,5,2,"Pan, Trigo, forma, integral|Huevo, de gallina, clara, cocida/10minutos"
Galleta de arroz con maní,media_manana,Galletas de arroz con mantequilla de maní,160,general_health|muscle_gain,1,5,3,"Maní, tostado, salado"
Tostada con plátano y canela,media_manana,Pan integral con plátano maduro y canela,170,general_health,1,5,2,"Pan, Trigo, forma, integral|Banano, de la terra, cruda"
Tostada con sardina,media_manana,Pan integral con sardinas en lata y limón,180,general_health|muscle_gain,2,5,3,"Pan, Trigo, forma, integral|Sardina, conserva en Aceite vegetal"
Tostada con queso ricota,media_manana,Pan integral con ricota y miel,170,general_health,1,5,2,"Pan, Trigo, forma, integral|Queso, ricota"
Tostada con palta y tomate,media_manana,Pan integral con aguacate y tomate fresco,180,general_health|fat_loss,1,5,2,"Pan, Trigo, forma, integral|Aguacate, crudo|Tomate, con semilla, crudo"
Tostada con huevo cocido,media_manana,Pan integral con huevo duro picado,200,general_health|muscle_gain,1,5,2,"Pan, Trigo, forma, integral|Huevo, de gallina, entero, cocido/10minutos"
Galletas con queso y guayaba,media_manana,Galletas saladas con queso y bocadillo de guayaba,200,general_health,1,5,3,"Queso, minas, meia cura|Guayaba, vermelha, con casca, cruda"
Tostada con champiñones,media_manana,Pan integral con champiñones salteados,140,general_health|fat_loss,1,5,2,"Pan, Trigo, forma, integral"
Jugo de naranja natural,media_manana,Vaso de jugo de naranja recién exprimido,100,general_health,1,5,1,"Naranja, baía, Jugo"
Jugo de mango sin azúcar,media_manana,Jugo de mango licuado con agua,110,general_health|fat_loss,1,5,1,"Mango, Tommy Atkins, cruda"
Jugo de maracuyá natural,media_manana,Jugo de maracuyá con agua y sin azúcar,80,general_health|fat_loss,1,5,1,"Maracuyá, crudo"
Batido de banano pequeño,media_manana,Banano licuado con leche descremada,150,general_health|fat_loss,1,5,2,"Banano, Manzana, cruda|Leche, de vaca, desnatado, UHT"
Batido de fresa ligero,media_manana,Fresas licuadas con leche descremada,120,general_health|fat_loss,1,5,2,"Fresa, crudo|Leche, de vaca, desnatado, UHT"
Jugo verde detox,media_manana,"Espinaca, manzana y apio licuados con agua",90,fat_loss,1,5,1,"Espinaca, Nova Zelândia, crudo|Manzana, Fuji, con casca, cruda|Apio, crudo"
Limonada natural,media_manana,Vaso de limonada sin azúcar,30,general_health|fat_loss,1,5,1,
Agua de panela con limón,media_manana,Bebida tradicional con panela y limón,80,general_health,1,5,2,
Té frío con limón,media_manana,Té helado sin azúcar con limón,20,general_health|fat_loss,1,5,1,
Café con leche pequeño,media_manana,"Café con leche tibia, porción pequeña",80,general_health,1,5,2,"Leche, de vaca, integral"
Batido tropical chico,media_manana,"Mango, piña y agua licuados",130,general_health|fat_loss,1,5,1,"Mango, Tommy Atkins, cruda|Piña, crudo"
Batido de papaya pequeño,media_manana,Papaya licuada con leche descremada,140,general_health|fat_loss,1,5,2,"Papaya, Formosa, crudo|Leche, de vaca, desnatado, UHT"
Jugo de guayaba con agua,media_manana,Pulpa de guayaba licuada con agua,100,general_health,1,5,1,"Guayaba, vermelha, con casca, cruda"
Jugo de guanábana,media_manana,Pulpa de guanábana con leche descremada,130,general_health|fat_loss,1,5,2,"Guanábana, cruda|Leche, de vaca, desnatado, UHT"
Agua de coco fresca,media_manana,Vaso de agua de coco natural,60,general_health|fat_loss,1,5,1,
Batido de proteína mini,media_manana,Shake pequeño de proteína con agua,130,fat_loss|muscle_gain,3,5,3,
Smoothie de kiwi y manzana,media_manana,"Licuado de kiwi, manzana y agua",120,general_health|fat_loss,1,5,1,"Kiwi, crudo|Manzana, Fuji, con casca, cruda"
Batido de avena y banano,media_manana,"Banano, avena y leche descremada licuados",200,general_health|fat_loss,1,5,2,"Banano, Manzana, cruda|Avena, hojuelas, cruda|Leche, de vaca, desnatado, UHT"
Café americano,media_manana,Café negro sin azúcar,5,general_health|fat_loss,1,5,1,
Té verde con limón,media_manana,Infusión de té verde sin azúcar,5,general_health|fat_loss,1,5,1,
Buñuelo paisa pequeño,media_manana,Buñuelo de queso pequeño tradicional,180,general_health,1,4,3,"Queso, minas, meia cura"
Pandebono mini,media_manana,Mini pandebono recién horneado,150,general_health,1,5,3,"Queso, minas, meia cura"
Pandequeso pequeño,media_manana,Pandequeso valluno pequeño,160,general_health,1,5,3,"Queso, minas, meia cura"
Almojábana pequeña,media_manana,Almojábana boyacense en porción mini,140,general_health,1,5,3,"Queso, minas, meia cura"
Empanada de papa mini,media_manana,Empanada pequeña de papa horneada,180,general_health,1,4,3,"Papa, baroa, cocida"
Empanada de queso horneada,media_manana,"Empanada de queso al horno, no frita",170,general_health,1,5,3,"Queso, minas, meia cura"
Obleas con arequipe,media_manana,Obleas con un toque de arequipe,200,general_health,1,4,4,
Oblea con queso,media_manana,Oblea con queso campesino,180,general_health,1,5,3,"Queso, minas, meia cura"
Mazamorra de maíz,media_manana,Mazamorra paisa con leche y panela,200,general_health,1,5,2,"Maíz, verde, crudo|Leche, de vaca, integral"
Chontaduro con sal,media_manana,Chontaduro cocido con sal de ajo,130,general_health,1,5,1,
Chontaduro con miel,media_manana,Chontaduro con miel de abejas,150,general_health|muscle_gain,1,5,2,
Coco helado,media_manana,Trozos de coco fresco congelado,130,general_health,1,5,1,"Coco, crudo"
Mango biche con sal,media_manana,Mango verde con sal y limón,70,general_health|fat_loss,1,5,1,
Yuca frita pequeña,media_manana,Porción pequeña de yuca frita,200,general_health,1,4,3,"Yuca/mandioca, cocida"
Patacones con guacamole,media_manana,Patacones pequeños con guacamole,220,general_health,1,4,2,"Banano, de la terra, cruda|Aguacate, crudo"
Achiras del Huila,media_manana,Galletas de achira tradicionales,150,general_health,1,5,3,
Galletas de maíz tostado,media_manana,Galletas saladas de maíz,150,general_health,1,5,3,
Bocadillo con queso,media_manana,Bocadillo de guayaba con queso fresco,180,general_health,1,5,3,"Queso, minas, meia cura|Guayaba, vermelha, con casca, cruda"
Cocadas de coco,media_manana,Cocadas tradicionales de coco rallado,200,general_health,1,4,3,"Coco, crudo"
Pastor seco,media_manana,Galleta de masa dulce tradicional,180,general_health,1,5,3,
Galleta dulce de maíz,media_manana,Galleta de maíz horneada,150,general_health,1,5,3,
Manjar blanco con galleta,media_manana,Cucharada de manjar blanco con galleta,200,general_health,1,4,4,
Cuajada con melao,media_manana,Cuajada fresca con melao de panela,180,general_health,1,5,2,"Queso, minas, meia cura"
Pan de yuca,media_manana,Pan de yuca recién horneado,160,general_health,1,5,3,"Queso, minas, meia cura"
Empanadas de pipián,media_manana,Empanada de papa y maní caucana,200,general_health,1,4,3,"Papa, baroa, cocida|Maní, tostado, salado"
Zanahoria con hummus,media_manana,Bastones de zanahoria con hummus de garbanzo,140,general_health|fat_loss,1,5,2,"Zanahoria, cruda|Garbanzo, crudo"
Pepino con limón y sal,media_manana,Rodajas de pepino con limón y sal,30,fat_loss,1,5,1,"Pepino, crudo"
Apio con queso ricota,media_manana,Bastones de apio rellenos de ricota,130,general_health|fat_loss,1,5,2,"Apio, crudo|Queso, ricota"
Tomates cherry con queso,media_manana,Tomates cherry con mozzarella y albahaca,160,general_health|fat_loss,1,5,2,"Tomate, con semilla, crudo|Queso, mozarela"
Pimentón con hummus,media_manana,Bastones de pimentón con hummus casero,130,general_health|fat_loss,1,5,2,"Pimiento, vermelho, crudo|Garbanzo, crudo"
Rábano con sal,media_manana,Rábanos frescos con sal en escamas,30,fat_loss,1,5,1,"Rábano, crudo"
Lechuga con aderezo casero,media_manana,Hojas de lechuga con yogur y limón,60,fat_loss,1,5,2,"Lechuga, americana, cruda|Yogur, natural"
Mix de vegetales crudos,media_manana,"Zanahoria, pepino y apio con dip de yogur",130,general_health|fat_loss,1,5,2,"Zanahoria, cruda|Pepino, crudo|Apio, crudo|Yogur, natural"
Brócoli al vapor con limón,media_manana,Brócoli al vapor con jugo de limón,80,fat_loss,1,5,1,"Brócoli, cocido"
Repollo en ensalada chica,media_manana,Repollo morado y blanco con limón,60,fat_loss,1,5,1,"Repollo, branco, crudo|Repollo, roxo, crudo"
Aguacate con sal y limón,media_manana,Medio aguacate con sal y limón,180,general_health|fat_loss,1,5,1,"Aguacate, crudo"
Remolacha cocida en rodajas,media_manana,Remolacha cocida con un toque de limón,70,general_health|fat_loss,1,5,1,"Remolacha, cocida"
Coliflor con vinagreta,media_manana,Floretes de coliflor con vinagreta de limón,60,fat_loss,1,5,1,"Coliflor, cocida"
Ensalada de pepino y tomate,media_manana,Pepino y tomate con cebolla y limón,80,fat_loss,1,5,1,"Pepino, crudo|Tomate, con semilla, crudo|Cebolla, cruda"
Berenjena salteada chica,media_manana,Cubos de berenjena salteados con ajo,90,general_health|fat_loss,1,5,2,"Berenjena, cocida|Ajo, crudo"
Huevo cocido solo,media_manana,Un huevo cocido duro como snack rápido,80,fat_loss|muscle_gain,1,5,2,"Huevo, de gallina, entero, cocido/10minutos"
Dos huevos cocidos,media_manana,Dos huevos cocidos con sal y pimienta,160,fat_loss|muscle_gain,1,5,2,"Huevo, de gallina, entero, cocido/10minutos"
Pollo desmechado snack,media_manana,Porción pequeña de pollo desmechado,140,fat_loss|muscle_gain,3,5,2,"Pollo, Pechuga, sin piel, cocido"
Atún en agua porción chica,media_manana,Atún en agua escurrido directo,110,fat_loss|muscle_gain,2,5,3,"Atún, conserva en Aceite vegetal"
Sardinas con galleta,media_manana,Sardinas en lata con galletas saladas,200,general_health|muscle_gain,2,5,3,"Sardina, conserva en Aceite vegetal"
Salmón frío en lata,media_manana,Snack rápido de salmón con limón,180,fat_loss|muscle_gain,3,5,3,
Pavo con queso,media_manana,Rollito de pavo con queso bajo en grasa,180,fat_loss|muscle_gain,3,5,3,"Queso, minas, meia cura"
Jamón pavo con tostada,media_manana,Pavo con pan integral pequeño,200,fat_loss|muscle_gain,2,5,3,"Pan, Trigo, forma, integral"
Huevo con aguacate,media_manana,Huevo cocido con cucharada de aguacate,200,general_health|muscle_gain,1,5,2,"Huevo, de gallina, entero, cocido/10minutos|Aguacate, crudo"
Proteína en polvo con agua,media_manana,Shake de proteína mezclado con agua,130,fat_loss|muscle_gain,3,5,3,
Tortilla de claras mini,media_manana,Mini tortilla de claras de huevo,100,fat_loss|muscle_gain,3,5,2,"Huevo, de gallina, clara, cocida/10minutos"
Carne molida porción chica,media_manana,Cucharadas de carne molida guisada,180,muscle_gain,3,5,2,"Carne, bovina, Aguja de res, molido, cocido"
